prefix,rate
2692,7.67
2939,9.8
2055,2.73
2045,1.94
2309,7.27
1214,9.17
2185,6.88
1354,7.73
728,6.3
2104,7.04
2254,7.6
2407,9.5
1392,5.14
1688,7.48
2476,5.49
1237,5.3
405,4.37
2689,7.26
2498,9.82
1988,5.28
1158,4.36
417,3.95
830,2.92
2854,3.86
2264,7.78
679,8.18
1841,8.89
2591,3.73
1466,5.42
327,1.73
1151,2.99
2789,0.54
2197,6.01
1610,5.29
317,8.65
1624,9.51
2607,9.07
1125,2.61
1782,4.86
765,9.61
153,2.18
2967,4.14
455,8.92
2508,2.75
443,2.36
1416,5.6
2576,8.62
1758,9.3
929,9.43
2845,7.9
1737,9.06
1485,5.07
2427,3.01
877,3.71
2025,2.93
2266,0.46
1654,0.67
2143,6.63
333,5.14
128,7.49
2555,0.33
1860,1.65
1209,7.31
1923,4.7
2039,3.6
1623,8.83
1949,7.84
1907,8.23
1274,4.07
2621,0.87
910,9.15
884,2.74
1729,9.69
1575,5.88
1339,2.5
1405,7.69
2908,7.85
796,8.81
217,1.76
2831,7.56
693,0.23
2733,7.05
560,1.42
2897,4.53
1638,1.59
518,6.85
1256,6.68
1477,5.03
492,0.88
1359,0.45
2669,5.64
370,2.27
2427,2.34
1779,0.56
1629,1.26
2705,7.93
1874,3.77
314,1.05
1575,7.85
2253,3.78
1951,9.15
209,8.7
752,7.19
2181,5.94
2103,4.07
2981,8.58
2721,5.08
310,4.19
2293,8.94
2004,1.16
2209,4.19
1296,2.84
544,8.31
1629,5.02
2245,5.07
1843,8.63
1510,9.58
1787,2.91
2576,2.73
1570,4.58
853,1.5
1144,0.68
2658,0.2
846,8.28
358,6.99
450,5.2
2343,0.14
2759,0.98
2710,3.59
731,5.77
509,7.52
1163,6.91
1840,9.43
1491,1.18
1024,4.84
1135,7.45
799,0.73
312,4.19
873,9.5
2849,6.62
993,7.19
2678,7.84
1676,3.41
1063,7.73
2121,5.88
1314,1.59
2814,5.54
101,9.92
959,8.75
2647,0.73
2624,2.04
2492,3.57
490,8.43
1681,9.91
1785,7.21
930,9.94
1271,2.01
931,5.37
973,3.82
1578,6.59
524,2.76
1603,9.16
2212,6.84
660,1.74
2684,8.6
1415,2.11
1081,9.38
1983,4.85
944,2.63
924,0.78
622,5.22
1937,4.9
1945,8.39
2183,6.72
2260,7.59
1664,3.93
2876,2.81
2807,0.86
2176,1.11
2469,1.58
2865,4.53
2171,5.4
1914,9.22
1602,0.28
2670,4.77
1273,6.91
1135,1.13
1129,7.5
2996,2.9
1374,6.26
1116,9.91
1679,9.92
2044,9.89
1695,5.17
1170,5.89
2162,9.62
2945,8.98
922,6.28
2654,3.43
1934,0.34
1394,4.4
1256,6.01
1372,9.22
1057,8.16
1980,8.14
1045,6.36
2314,7.19
1951,7.89
2771,6.99
503,0.15
359,6.85
2412,5.06
944,6.33
1786,9.93
2253,5.67
255,7.12
1712,4.89
1591,2.51
2884,8.94
1708,3.01
477,5.35
1302,1.27
2284,0.31
1603,2.74
1379,0.85
1259,1.42
421,9.6
964,7.9
1154,8.52
2930,3.07
2662,1.44
2930,7.88
894,4.02
2552,4.28
1041,3.51
1474,9.57
952,9.53
987,9.51
1013,2.17
574,4.28
2415,9.35
633,0.61
2381,6.04
775,3.34
2274,0.35
208,0.98
616,6.55
473,1.03
1426,0.54
1485,9.94
1881,0.66
761,4.95
632,3.19
1302,6.09
1267,4.17
2192,4.12
642,5.37
782,5.57
1872,3.01
2445,2.24
1061,2.78
2409,2.47
782,4.57
1850,5.74
565,9.34
469,7.45
1951,1.9
623,6.92
129,3.66
705,8.11
484,8.99
2333,8.67
766,0.84
1046,9.34
2975,7.36
1646,5.75
652,0.41
567,0.51
2099,7.32
1810,2.7
2102,2.44
2839,8.48
1063,5.6
1568,1.73
126,9.73
2705,1.47
2455,2.18
2506,3.0
1030,4.73
1806,3.35
858,3.3
1224,3.48
1485,9.19
2392,1.59
2175,2.02
756,2.3
107,2.07
374,4.39
2937,1.94
1514,6.03
2712,2.08
787,5.05
1350,1.82
2571,1.6
2618,7.53
2339,5.35
207,0.24
2765,9.97
1606,0.25
905,8.16
1351,3.0
1563,5.06
2989,4.59
369,1.99
967,7.48
1596,4.83
142,5.77
2791,5.11
513,9.65
157,2.66
1731,5.0
1204,5.87
2221,6.53
1610,5.2
1130,7.87
1602,2.01
2808,2.92
1583,2.47
309,5.15
294,8.65
288,7.17
806,1.06
1162,9.65
308,6.48
2009,4.46
703,9.91
569,7.34
1602,9.43
2785,3.56
2075,7.9
2831,7.82
2204,3.99
1937,0.32
1906,1.29
979,1.25
511,1.23
844,7.51
1669,5.7
1385,8.42
2711,9.63
1858,3.15
1724,5.31
2614,6.41
2132,7.56
2307,0.3
2363,1.65
397,6.12
1212,5.58
2935,9.26
719,7.61
2808,1.89
2431,6.23
687,9.91
1496,2.13
1327,9.22
2303,0.37
809,5.35
568,1.43
1595,5.55
1268,2.28
478,3.01
104,0.16
1661,2.38
2358,8.58
2920,3.11
2839,3.34
2991,8.35
2140,3.52
2761,2.98
397,2.67
1135,6.19
111,1.33
750,4.36
1265,3.3
1208,5.3
1691,5.21
2255,8.61
1235,4.35
1359,5.53
1657,3.62
735,8.25
1613,0.51
2955,9.96
271,5.2
262,4.38
1165,0.21
2134,6.2
430,5.44
236,4.65
2578,9.59
1883,9.62
2411,9.54
1320,9.84
2057,5.9
552,6.9
1837,5.08
852,3.07
2900,5.75
185,8.84
216,1.2
1794,6.33
2446,2.69
1478,1.05
1312,4.94
824,1.49
718,1.75
2017,5.4
2128,7.56
2675,4.04
214,0.52
227,0.6
2700,2.43
820,2.17
2524,2.11
2232,8.22
2656,5.58
122,4.28
2887,3.67
263,4.18
2794,0.25
254,1.37
1160,3.3
982,4.34
1742,8.18
188,6.36
2046,1.27
2490,8.28
1511,8.97
2961,4.38
2403,7.49
2508,6.35
355,3.82
2133,9.04
1508,7.65
2923,2.49
691,6.11
2506,2.15
1539,7.55
454,8.15
2816,6.21
1497,1.0
1634,4.82
1602,3.46
124,2.69
381,4.13
661,2.68
1497,1.91
1194,8.53
468,9.61
1446,8.68
1088,4.45
766,3.76
976,8.94
1946,6.22
1287,3.94
2895,3.1
1968,6.3
2005,0.26
2703,2.66
2216,4.62
979,7.21
1699,4.55
243,0.7
174,2.87
1893,0.33
430,0.58
1937,4.81
1529,7.61
1299,8.59
977,8.03
2282,5.47
2598,7.8
2653,2.41
2649,9.97
609,6.41
2933,3.57
2199,3.5
2412,3.9
997,2.27
978,3.4
1089,1.64
2199,8.05
2507,0.92
2897,1.23
959,9.97
470,2.29
2771,6.14
1407,2.35
2891,8.44
1073,7.28
2981,3.56
1234,3.47
2399,8.19
2362,3.02
1635,9.94
2432,8.17
445,5.76
619,1.04
1893,9.15
1157,3.88
2661,4.48
522,4.66
2195,8.63
2793,4.14
2336,8.07
2333,2.87
256,0.66
2662,8.73
2541,2.46
1462,2.1
385,3.72
1521,1.23
2274,0.66
539,7.16
1734,4.23
1538,4.45
2212,0.95
2359,8.35
1338,6.47
1871,2.48
2914,4.58
1788,2.48
1030,6.53
1140,0.52
2828,5.06
2487,7.66
1221,3.71
1798,3.42
662,1.86
311,8.7
2153,6.2
269,5.91
315,7.52
2515,7.61
964,4.65
1551,1.54
1786,5.95
2623,1.82
225,7.64
2479,3.88
699,8.95
2094,5.82
476,2.19
2022,8.43
410,7.65
1841,7.15
1038,8.65
1727,9.26
649,5.96
1124,6.67
376,7.1
1330,3.61
1183,3.12
1409,3.61
1608,7.67
2900,4.36
1014,0.17
1420,5.07
1934,8.15
809,0.65
2458,0.43
908,6.08
2583,8.49
331,4.82
148,3.95
858,3.34
1727,3.3
2551,3.51
422,0.74
827,3.58
2139,4.23
1644,0.14
1029,7.32
2638,6.35
208,0.33
1081,7.32
1465,4.14
464,9.22
444,6.14
1851,3.87
1876,9.31
575,8.87
364,8.6
1164,6.88
2350,7.83
1541,3.61
2681,8.66
1597,7.4
2602,3.88
1549,9.6
1726,4.0
668,4.19
2709,1.52
334,0.74
2769,1.47
147,5.32
864,3.11
720,8.89
236,6.64
