prefix,rate
960,3.78
1394,2.03
1230,4.94
1195,7.44
1738,4.98
2269,4.88
566,8.4
1338,3.68
430,8.61
1582,4.13
2235,3.35
230,4.59
1785,7.65
869,1.35
2491,2.04
1615,9.52
2953,1.84
2533,5.72
1315,5.84
1055,4.95
2424,6.48
1284,2.38
559,5.57
121,3.78
2400,6.65
847,1.5
574,5.75
1182,1.93
2658,2.86
2147,2.27
2847,1.91
1075,8.27
1906,2.93
289,9.28
2834,9.7
662,5.76
1999,1.52
1367,3.81
2979,8.0
1628,3.74
746,0.96
2168,5.61
2988,8.47
2314,7.98
1397,1.83
2535,6.76
700,2.28
2463,2.26
2161,8.75
341,2.57
2141,2.71
2924,0.11
2712,8.72
1463,7.95
2239,6.31
1490,7.53
1578,1.61
2656,4.64
875,3.58
134,1.03
2353,4.91
2055,9.22
1685,0.5
1121,2.99
2713,2.15
1229,2.46
1600,9.09
802,4.73
2549,4.72
2877,7.63
1679,1.63
261,4.92
301,4.36
2081,6.01
1095,10.0
2417,7.72
915,4.04
555,8.29
1375,1.79
1116,0.4
2443,2.12
2867,3.47
437,5.15
978,6.19
1176,9.11
891,5.15
2364,5.06
863,0.6
2335,0.45
479,5.56
592,4.44
1280,8.41
2162,1.69
164,0.35
2668,4.55
1467,2.45
1252,0.59
2127,7.27
2795,1.2
1595,6.12
1262,2.88
1622,1.82
2740,3.86
491,8.03
1798,3.98
518,7.53
2436,1.34
478,7.75
1896,2.45
2378,6.81
2188,5.7
2282,9.3
300,3.93
1963,0.76
879,0.29
602,8.29
2554,5.29
1851,7.77
904,2.42
2246,3.52
2831,0.4
1995,9.62
2873,6.71
1670,9.34
1060,2.73
2760,6.15
1585,6.82
2790,3.24
1128,8.5
602,9.48
2914,8.86
497,7.42
970,2.85
2942,2.89
492,9.64
306,0.2
1138,7.19
1981,7.09
1584,6.26
963,9.9
2890,3.19
663,3.47
1120,0.88
195,4.48
2023,2.68
1857,3.5
2632,8.36
2378,9.36
2896,1.94
1778,3.79
640,9.29
1159,0.71
2672,1.01
1283,1.71
1822,5.99
1919,1.59
2725,9.68
2829,4.52
2704,5.07
1697,2.54
2793,4.76
895,6.65
1151,7.54
1743,7.56
1463,5.82
2081,9.05
1454,8.19
1763,7.59
1629,0.65
2138,0.17
1596,2.2
2337,6.67
1508,4.17
1500,4.08
1406,8.86
2780,8.97
2775,9.1
1072,3.21
