prefix,rate
998,3.15
1147,9.89
2027,1.46
2165,3.29
1133,5.07
1642,2.65
717,8.25
808,4.88
1432,9.82
1137,9.84
2690,6.69
2106,3.32
2360,3.55
2210,8.97
1396,0.81
458,2.4
2268,4.31
2427,9.34
470,5.82
2742,4.84
2202,3.69
1184,1.04
157,7.19
2479,2.94
1020,6.26
2069,4.46
2827,2.4
491,2.84
1808,1.04
502,7.79
523,7.68
108,1.82
439,9.98
2674,3.7
1959,5.77
233,9.0
2587,7.64
172,7.14
1015,0.82
2905,4.52
2380,5.31
1999,8.77
2135,8.22
1200,7.95
2278,7.21
1830,2.62
1852,1.72
2086,1.66
1677,0.57
1520,2.68
2963,8.44
2962,4.35
2365,7.85
1021,0.44
1536,0.53
2530,8.41
1922,0.55
2584,6.8
1231,2.6
2297,3.29
752,2.67
114,6.9
1704,4.91
2140,2.69
1471,8.82
1079,1.05
1844,3.33
2227,6.14
1088,4.57
1590,4.07
2100,7.02
2882,6.72
440,4.36
2634,7.26
640,7.16
1106,3.39
2210,1.03
2202,8.03
1747,9.73
2887,8.86
1348,8.93
2355,6.45
584,7.7
2925,4.34
2261,9.97
1335,0.76
1955,9.91
1068,5.99
2462,3.02
2881,1.1
336,5.66
1014,8.58
2308,5.24
1857,1.32
2944,1.92
137,4.73
1408,9.67
281,7.38
987,8.95
648,9.77
1578,8.31
1257,6.58
817,4.34
2634,1.99
2138,0.81
1427,5.1
2498,6.61
313,1.7
2492,4.32
2907,6.06
315,3.38
2121,8.8
2707,7.84
2616,2.71
638,0.37
173,3.82
813,4.57
749,4.46
2218,0.78
1631,4.15
1934,3.79
2285,4.31
167,5.47
1297,7.28
1516,5.47
1620,2.98
1144,2.77
337,6.5
1231,0.8
2410,4.28
281,0.24
523,1.59
174,3.04
1047,4.05
2350,5.57
1394,9.44
1016,1.69
204,6.92
2193,2.53
1473,3.32
1742,6.48
989,3.92
1661,0.97
2675,8.84
2973,5.64
2978,7.92
2777,7.25
162,9.46
1394,6.65
1862,3.25
1526,3.22
2997,2.45
1632,5.22
2382,5.32
2411,1.54
2453,7.12
2106,4.92
1244,6.5
1042,6.58
2631,5.46
1948,2.2
178,7.36
2347,3.43
2816,0.91
839,9.97
2249,9.67
476,0.88
1318,4.78
2115,8.84
110,7.18
2404,1.44
1419,5.5
1658,7.51
231,2.45
1754,0.81
2805,4.91
1282,9.52
499,1.74
1627,3.02
1516,6.25
673,3.03
300,5.25
470,7.37
2387,4.0
1533,8.34
2147,7.52
1323,8.99
794,2.19
829,3.17
2023,8.97
2175,3.54
2673,2.62
1763,3.63
1565,3.9
1793,6.22
1503,0.68
403,6.99
824,2.11
2053,1.73
2537,4.83
2456,5.25
2909,9.61
1939,9.03
918,9.7
2659,6.29
857,7.42
314,4.17
1100,2.72
1847,5.15
2757,5.48
485,9.01
1692,1.03
603,3.84
2229,0.16
419,7.41
1798,5.0
1273,5.52
2017,8.62
1419,9.66
1997,0.31
2366,2.23
1968,2.34
2460,4.14
125,5.51
1935,9.15
2870,8.79
1077,1.16
2649,2.44
586,4.26
1551,1.52
2212,9.88
142,7.42
1033,0.69
1517,8.36
641,7.63
637,6.51
1523,8.28
2015,1.68
2718,2.42
566,8.84
2322,1.07
807,3.92
1301,3.74
1619,7.91
913,4.11
1383,4.93
2833,3.81
1614,1.38
939,9.4
1558,3.01
1469,6.79
462,9.22
1338,4.48
723,8.85
2754,5.44
1266,0.81
849,5.35
1605,5.19
583,5.8
2043,4.97
2537,9.48
2594,5.95
1813,6.32
866,3.67
457,3.27
2261,3.96
879,2.51
2052,1.13
1356,5.21
158,5.84
1031,6.7
198,7.04
1687,8.51
2744,4.9
1616,3.74
625,2.14
2782,4.79
2834,5.8
1758,5.66
2169,8.73
1419,0.54
1431,5.22
532,2.89
1932,9.41
1772,6.83
2874,8.29
2744,9.87
880,3.16
1750,3.18
175,7.31
592,2.02
1305,3.51
1254,3.94
525,4.06
2696,2.03
2709,4.68
1777,5.41
1046,8.93
111,3.43
2564,8.82
2623,2.31
2598,8.74
1564,5.22
1298,5.68
2297,8.85
306,2.86
2881,0.45
584,8.07
2025,9.28
1359,1.95
565,9.79
1438,7.31
1061,8.34
1493,4.09
1083,5.15
1195,5.2
2822,7.14
1113,1.41
883,2.6
1112,1.22
1776,2.9
252,2.13
2964,2.1
2756,9.63
2093,5.76
363,5.88
1337,2.83
372,6.75
2091,6.78
1656,2.41
2546,5.46
2606,2.95
2401,9.07
831,4.61
2108,0.25
205,4.82
2145,2.65
1477,2.03
2153,6.15
2710,0.62
1876,9.68
476,5.98
2778,7.56
1051,3.63
2540,6.86
1413,2.48
963,9.34
1463,5.6
2064,4.43
1698,5.27
1317,0.23
352,1.65
863,3.8
539,6.93
1426,7.48
1894,8.36
488,1.93
2344,5.13
1370,0.13
1303,8.91
1888,4.92
2791,9.32
1257,5.98
2969,2.9
2649,0.64
116,7.57
307,5.14
2465,2.01
2038,6.13
1736,1.09
1470,0.53
2078,9.07
2801,3.52
1712,4.24
2547,3.62
319,5.94
460,0.64
1275,5.13
2286,3.93
516,2.61
1875,4.68
2150,1.75
2237,7.44
2754,3.06
478,7.02
2169,2.11
2805,1.24
1812,1.47
320,5.44
2377,0.64
665,6.51
1987,3.3
1259,5.61
1383,6.65
1368,7.5
950,6.8
1409,4.87
1979,9.18
1956,5.03
2701,3.36
1489,8.87
2216,3.47
2153,2.09
1093,7.45
419,8.25
2568,8.2
138,9.84
1191,2.59
2640,0.37
2191,0.13
1590,7.75
1930,4.7
1163,9.26
1087,9.21
1743,6.21
183,3.16
2797,5.5
2844,9.16
1934,3.79
360,5.36
146,6.07
2592,9.46
1212,4.61
2404,3.53
2093,6.96
1526,1.3
371,4.9
1420,3.98
1387,4.43
382,5.19
1495,7.67
441,3.39
268,8.75
1785,1.64
269,7.83
600,8.37
2405,8.68
1123,3.53
523,7.33
1384,6.53
2943,8.08
1391,9.81
1494,4.77
1793,6.38
2291,4.96
2238,2.01
556,7.37
2693,6.5
862,9.62
498,3.67
293,8.4
197,1.37
129,2.34
2991,1.12
831,4.56
2818,3.64
1191,4.78
2805,8.08
1751,7.46
796,5.68
188,3.88
2827,2.18
682,9.67
1243,0.44
438,9.1
629,4.38
2338,0.71
2139,1.18
985,6.57
1380,6.43
245,9.5
2996,3.12
493,4.91
696,7.02
2039,0.74
2164,3.64
2668,1.72
956,4.84
1981,8.32
1461,9.96
396,1.46
2537,8.39
153,5.06
1630,1.89
1329,7.36
2689,0.46
2647,6.99
2270,2.45
404,7.63
2364,7.03
2073,0.2
1149,1.54
1649,7.95
1316,5.63
510,9.11
1970,4.35
2700,7.45
1913,9.14
2988,3.02
2877,6.71
2970,7.41
1239,2.27
2693,5.44
471,7.33
1567,3.11
2938,7.06
2822,0.47
1583,0.39
1976,2.96
458,3.4
2461,5.68
725,7.84
2436,1.95
2159,2.94
1534,3.34
1367,8.4
880,8.03
843,4.27
1606,4.68
508,0.6
947,8.4
2681,2.77
213,4.28
1220,3.38
1276,8.68
2299,6.38
2438,3.52
2314,8.69
1123,0.12
1098,9.85
2888,9.43
2550,3.15
2151,0.7
2985,6.97
2313,8.73
865,7.79
1948,9.17
2753,5.33
619,0.59
137,9.68
1592,3.72
729,6.5
2656,9.76
2178,5.52
1100,4.55
542,8.14
896,6.46
276,1.07
1125,7.01
2269,8.14
584,9.29
155,8.84
2637,6.62
1704,4.95
219,8.64
943,8.93
952,2.57
1677,5.06
1576,6.36
1001,7.35
739,5.08
1684,2.23
437,0.2
129,4.41
1021,1.89
2331,3.26
1517,2.65
1683,7.74
1820,4.45
2421,2.92
1590,7.83
887,0.38
919,7.82
2168,4.29
613,9.57
136,5.54
2081,6.98
2505,0.52
799,8.19
992,7.65
