prefix,rate
526,6.74
1809,6.27
524,8.3
1008,6.08
2601,5.16
2786,9.11
992,8.78
1301,6.33
1782,1.33
1672,6.11
324,3.95
1974,2.82
1607,5.22
2046,6.63
1514,8.43
2463,1.96
517,5.54
1728,2.5
179,1.87
2119,7.28
417,4.72
557,5.74
1567,5.97
2344,5.36
304,4.17
360,3.1
926,8.03
387,4.48
2827,4.8
988,8.48
1457,1.74
1002,3.17
2936,6.63
2979,2.05
1816,8.15
238,7.02
539,5.07
1862,5.98
493,3.29
2420,9.84
2214,9.62
2628,4.01
2333,8.17
736,7.95
2476,4.0
1673,6.58
361,9.88
1639,8.21
1318,2.01
747,5.96
406,9.57
2206,8.13
1897,3.33
2818,0.35
370,0.53
1864,3.6
1546,3.21
267,3.49
1222,8.07
2510,2.41
2970,9.47
510,7.34
2928,6.21
1267,1.14
213,2.49
2759,6.7
2351,3.51
1879,6.9
1641,0.54
787,2.3
1009,1.39
140,6.83
748,2.93
2799,0.99
2195,8.43
2941,6.28
1679,5.83
2987,8.87
1748,0.52
2013,3.49
1098,1.67
2869,3.11
2182,5.93
662,6.28
157,2.38
164,3.96
1734,0.47
2123,1.96
562,5.92
1491,2.4
2740,7.65
1731,3.15
1347,5.26
2210,2.7
1084,9.22
689,9.69
287,9.11
1185,6.9
326,2.76
2885,5.59
2414,0.11
1977,8.83
1236,2.2
303,0.21
2303,8.09
2275,1.04
1159,9.8
743,0.15
2496,2.92
2505,9.76
2308,6.95
1274,7.0
1413,8.59
1558,0.48
1325,9.77
2170,1.77
1666,2.56
493,2.79
1726,3.73
496,3.45
1627,8.67
663,8.14
917,4.2
2366,7.06
1371,9.18
2741,4.16
1730,9.79
164,5.4
1247,7.73
1020,6.29
740,7.32
1606,1.65
2581,3.36
1227,4.71
2318,3.92
700,1.81
1330,8.27
1619,2.53
2807,6.2
100,9.3
1102,5.57
164,6.57
2949,0.49
2099,1.39
1196,0.46
2594,7.08
732,8.97
2476,9.83
642,3.22
1942,2.72
1664,0.29
2159,9.23
438,9.49
727,0.77
624,1.52
883,6.8
600,6.29
258,1.23
1410,8.04
1704,9.96
1021,9.03
1130,1.17
603,2.71
1598,9.61
388,3.34
488,9.97
569,7.84
556,1.22
2849,2.1
207,0.24
2773,1.53
751,8.85
2424,4.98
1876,2.8
2111,2.1
2560,2.28
2134,9.46
2689,1.01
255,2.26
1062,9.25
1732,2.37
2337,6.05
2222,0.76
1894,2.11
1027,4.92
942,5.66
1382,3.48
432,1.8
2958,0.12
660,4.13
1349,3.3
2961,0.48
927,8.58
2904,4.99
1230,1.5
586,9.32
747,2.91
2660,9.17
1635,0.27
2433,8.64
1216,1.76
1085,9.06
2589,2.19
791,7.57
784,5.09
1946,2.24
516,3.48
621,0.26
643,6.13
2593,3.09
202,5.49
2146,9.64
1376,7.94
2546,0.29
1474,9.89
1214,5.93
514,5.41
2314,1.81
2287,8.7
2161,1.45
2230,1.66
898,3.3
1609,9.92
2902,1.4
105,8.67
1600,0.27
829,5.16
110,5.3
2398,5.2
294,0.77
2571,5.71
425,4.78
1623,6.53
1055,6.24
747,3.85
1160,0.41
1259,0.82
2418,3.26
1263,6.6
2813,2.07
2485,8.01
2964,3.08
1307,6.57
1728,7.63
924,7.18
2464,0.53
183,6.69
2439,2.08
2317,3.24
1180,2.05
2296,8.92
1265,4.49
1761,5.11
1767,4.59
1128,2.59
2943,1.3
920,4.09
2583,8.34
1257,0.64
2372,8.75
487,6.83
2775,7.97
1149,3.48
1315,3.88
936,4.95
577,5.0
2539,8.39
874,1.01
661,9.79
2551,3.1
2301,9.87
709,5.31
2373,4.27
2758,9.88
1619,3.42
1638,9.48
1584,4.13
763,1.22
573,6.57
843,7.5
579,6.71
2828,3.26
1321,9.8
2121,7.81
1302,3.03
1735,9.52
1919,5.37
2693,7.12
2756,4.6
2607,2.04
2346,5.91
1687,5.34
776,6.32
138,5.21
2304,4.63
303,7.47
1979,2.77
1894,9.37
1232,9.89
2650,3.96
2335,1.01
1822,9.28
1678,8.71
1167,0.53
1483,3.06
2144,6.65
2008,1.2
401,6.6
524,8.42
2963,2.09
613,8.77
1355,1.98
1240,7.79
1144,5.34
1544,3.27
861,0.87
1855,3.72
2559,2.31
1014,5.94
345,8.18
318,4.46
491,6.38
2919,8.28
602,3.03
2184,3.47
221,7.36
2326,3.23
534,3.06
1610,8.86
1233,2.89
1410,4.35
663,3.23
303,7.15
2681,1.14
2835,8.67
1239,9.72
1357,7.2
2918,4.87
365,2.79
1846,0.89
1855,1.11
2580,6.97
683,0.41
306,7.48
2807,1.7
2898,6.6
2020,7.16
262,0.56
2202,7.83
2622,3.44
873,9.0
2459,9.12
1728,5.67
1482,5.61
2976,5.71
1664,4.2
852,4.68
2949,4.58
1966,6.89
2158,2.58
1091,8.67
624,9.64
1223,9.45
2480,6.11
338,0.7
1773,1.49
2700,1.81
1582,8.15
1140,2.72
750,6.26
1030,6.9
1961,2.66
2668,7.01
2776,3.85
2277,9.17
1372,2.44
2888,6.3
738,8.87
288,6.08
445,6.6
1351,3.69
302,3.17
2249,4.24
1079,7.92
557,6.64
2433,2.01
742,6.63
2018,9.29
2414,2.16
684,2.11
2853,3.67
523,8.0
591,1.02
1745,9.1
2387,0.41
394,4.78
2692,5.33
1263,1.66
2711,6.74
846,4.39
1235,0.3
1619,1.25
2960,1.99
257,6.02
1299,1.97
819,2.12
695,6.37
1348,7.17
1251,0.32
337,5.62
2244,6.63
529,7.48
312,2.04
1294,0.89
2234,6.39
228,5.18
2933,5.68
285,1.2
398,2.17
1072,7.12
2453,9.28
1894,3.18
693,1.95
1378,2.95
2565,2.91
2216,2.22
594,7.34
334,7.05
783,8.24
2937,8.31
2915,9.82
2155,7.14
335,8.24
404,7.7
1445,4.77
777,0.77
466,7.29
2396,3.89
809,3.91
1813,7.22
2443,3.2
651,5.24
2971,5.31
2692,1.06
1592,3.92
147,8.89
465,1.04
1205,4.31
2843,4.17
749,8.52
240,5.88
2408,4.25
353,3.8
1130,9.35
2277,5.26
1426,9.56
1677,8.06
884,9.1
2236,5.98
1993,8.57
915,7.51
371,3.29
2183,7.81
1781,4.68
2505,2.52
125,6.78
1481,0.97
120,8.4
1321,7.11
2702,3.15
749,9.13
517,5.91
364,9.05
867,0.7
2033,7.62
1225,2.21
2579,2.1
754,1.74
1723,7.22
657,8.7
1506,0.51
2327,0.13
2105,2.9
2867,7.88
2892,3.87
1950,0.78
2855,4.78
1282,5.11
1529,9.14
1288,2.28
1037,8.78
707,1.02
2610,5.68
748,2.92
536,0.25
1063,8.72
661,2.35
2761,9.09
1809,5.89
628,9.74
782,8.76
1621,3.8
1967,7.71
438,5.39
448,0.48
2597,5.03
147,4.02
1291,1.77
1091,1.26
979,8.94
1958,2.35
1758,9.44
1980,3.89
251,9.79
2865,1.91
