prefix,rate
2632,9.48
499,2.73
1542,7.28
1359,2.67
1246,7.75
754,4.46
333,0.35
1119,1.41
187,7.95
2170,2.07
456,0.93
1565,8.35
979,7.16
469,5.54
2812,9.17
2854,7.65
354,7.12
2447,8.13
2228,6.49
857,3.06
1866,8.87
1029,8.14
2926,3.98
2435,4.68
2304,9.01
777,9.02
1625,7.54
2816,1.2
1213,6.77
169,6.59
1062,0.78
686,8.08
372,7.43
2929,2.15
888,9.4
1110,2.24
1668,1.38
1665,4.15
1626,4.75
2754,4.31
1587,8.75
2628,2.78
2037,9.29
789,2.04
2519,1.65
2162,4.31
2754,3.69
2173,2.23
2842,8.85
2433,2.61
310,9.14
2051,9.32
2947,5.21
791,7.79
1820,7.54
2076,4.91
518,9.01
1156,7.77
1959,7.51
2324,2.99
2745,5.15
2300,9.23
2164,5.8
236,4.39
1242,7.77
2432,5.68
350,5.89
2913,6.82
2509,0.43
1807,7.12
962,0.17
1473,9.12
2970,1.26
1924,1.67
406,2.2
2519,9.58
2917,0.19
1999,3.61
2719,8.7
2228,1.37
1023,3.37
1248,9.7
2412,1.63
1510,1.67
2801,5.07
2043,6.27
532,3.63
2059,6.42
2838,8.91
760,4.7
1513,9.87
532,6.26
155,4.64
830,8.92
2373,2.74
1820,1.49
1867,8.75
1491,5.38
2184,4.41
2113,0.47
1468,4.98
1153,5.16
1048,1.27
1111,7.64
2622,5.36
441,6.29
1348,4.0
812,6.18
596,9.73
1867,8.58
380,6.65
2379,4.5
2110,5.53
2046,2.57
989,6.77
1087,4.56
1379,1.75
1459,8.61
2981,2.39
601,2.46
2835,5.45
2857,4.59
2601,2.63
1379,3.96
2501,8.03
818,1.39
1886,8.44
791,9.74
2349,5.14
1163,7.79
826,0.77
1019,0.43
1172,7.11
2360,9.24
1068,6.14
2557,7.18
2149,3.8
559,2.62
293,0.43
2554,5.3
2907,7.0
934,2.38
2170,6.09
2132,6.98
2256,6.75
2187,8.46
1185,0.22
1295,1.12
2859,0.83
669,7.58
1506,3.07
1159,8.32
2034,8.7
2844,5.25
1677,8.8
578,7.62
1457,5.17
1112,2.08
2978,9.13
2895,9.96
441,6.55
2147,8.94
2398,2.72
1893,3.46
2665,2.26
2268,3.26
1526,2.23
867,6.19
1556,8.29
1804,6.1
1051,3.69
2435,8.42
299,7.6
362,9.08
2314,2.37
2605,6.52
2961,3.18
1655,2.72
2112,3.84
1529,5.32
391,6.85
390,6.54
989,8.28
1847,7.49
932,6.26
104,4.9
275,9.04
2656,2.32
729,0.29
476,0.71
2871,7.01
185,8.94
2308,8.0
2532,0.45
1677,2.65
1375,3.13
2596,5.72
658,4.56
1551,4.37
2505,4.77
291,8.13
2121,2.96
679,1.07
1945,6.07
2336,5.32
242,6.8
1574,2.86
904,8.71
1220,2.49
2892,8.84
1322,2.46
2331,3.58
834,1.0
1524,1.53
1301,1.43
1569,6.9
2041,9.88
2954,4.4
289,5.48
2434,4.56
1864,6.83
125,3.92
978,8.7
2620,2.57
2297,2.85
592,4.34
261,6.09
2045,3.94
558,6.63
474,0.89
765,8.33
516,7.39
1779,3.17
2170,0.28
2071,2.72
143,8.15
2445,0.84
1907,0.23
1466,5.05
1188,1.51
2551,9.25
1256,2.28
161,7.93
1259,7.38
782,1.71
1242,4.46
618,6.4
211,3.54
1230,9.43
1161,8.99
1174,0.89
2719,5.32
1780,6.06
1257,1.69
887,3.67
1687,0.62
1278,9.85
2621,1.17
276,4.2
1934,7.04
2500,4.64
432,6.85
2159,8.69
1590,5.97
868,5.0
251,1.67
1966,1.03
1806,3.77
1755,7.19
1973,4.63
254,8.19
1815,2.99
1204,3.64
530,8.06
1640,9.05
2590,3.73
1490,4.52
283,1.97
2207,5.58
154,9.13
1036,5.55
199,4.35
341,6.1
365,5.94
1433,6.11
760,7.0
493,4.8
235,3.27
404,3.71
1120,1.37
975,1.24
1093,8.94
1115,7.99
1304,7.7
2946,1.61
2106,8.23
875,1.26
972,1.86
2040,0.5
2691,4.05
871,1.55
768,5.74
483,7.19
2356,3.93
2961,2.06
265,4.81
2793,5.05
2122,9.9
1005,6.32
113,2.84
1388,0.52
123,0.35
1966,9.98
1040,2.18
2462,9.07
579,7.29
1021,5.24
2424,1.15
2222,9.12
961,7.56
2197,1.99
1928,3.77
2873,8.15
476,0.79
1982,3.28
721,3.89
2123,3.65
2398,6.58
604,7.63
1912,8.52
2546,0.85
1953,1.98
838,2.24
811,8.95
1566,9.72
779,9.29
2107,6.61
2798,3.15
1533,5.91
2522,1.0
1692,7.56
2198,6.66
2589,8.77
2011,5.85
2120,0.95
939,3.59
839,3.73
2823,1.26
424,1.6
446,7.42
2205,6.29
2167,7.07
1905,1.69
2335,4.19
2833,5.28
1078,4.32
1180,9.19
832,0.14
685,7.36
152,5.12
241,2.26
2497,1.08
991,3.44
597,7.78
1191,5.41
978,8.52
2091,3.63
2307,8.36
1015,9.22
1171,3.66
680,9.89
715,8.17
2923,9.67
1229,3.8
2606,5.39
1374,9.16
783,4.14
2888,8.53
842,3.22
161,5.15
1204,0.24
2638,4.22
637,2.14
843,2.28
108,4.94
311,9.64
1191,9.53
1136,4.8
1954,0.71
2025,9.67
2735,2.62
2363,1.16
2061,7.68
1752,0.53
826,0.44
1823,6.84
2474,7.65
471,3.64
939,5.19
333,8.47
456,5.77
2985,7.31
904,9.11
1933,3.02
897,0.83
758,7.6
1434,3.98
1264,3.93
1804,5.34
2866,8.22
2750,4.06
707,5.57
191,7.59
1309,9.81
1540,3.52
457,1.58
2819,5.62
1547,5.96
1761,4.94
2585,4.12
2767,0.92
1076,6.97
1041,8.3
1547,7.3
960,2.89
491,1.42
1090,0.32
1415,0.43
1172,9.05
2360,3.57
536,3.65
994,3.27
2467,6.18
1597,2.25
1233,3.23
1302,6.99
292,3.5
923,5.08
2846,3.48
2133,1.58
1014,2.86
1452,8.88
1344,7.8
121,1.35
1103,5.33
854,0.7
2211,4.34
2416,3.42
2393,0.45
892,1.0
2257,2.59
2407,8.59
922,5.45
1963,9.41
2118,9.19
573,3.81
826,6.88
753,6.22
2795,9.16
675,2.06
472,4.52
2413,1.32
1381,5.71
1554,1.49
633,4.55
2424,7.96
2939,0.49
2576,6.65
2389,9.83
2108,2.72
1143,8.78
2773,7.27
386,7.55
354,1.76
2210,9.36
1651,9.03
2717,8.03
1582,7.18
585,5.02
2417,9.51
1550,3.7
1042,2.07
730,6.04
1980,0.52
2540,1.64
1843,8.92
1072,8.76
2884,7.22
1345,9.31
1195,8.77
946,1.63
806,4.91
2505,5.8
1339,8.56
1277,4.59
2837,9.85
1942,9.91
893,8.24
2654,6.57
1086,7.22
264,6.81
1719,7.69
2804,7.83
1139,1.08
275,6.17
1451,5.12
1462,4.08
2474,0.26
2220,0.33
1353,8.13
262,1.39
982,7.51
1455,6.7
803,8.46
880,2.85
817,9.2
1615,1.53
1228,5.68
2267,6.46
2528,1.95
1842,1.85
1060,8.15
1699,1.6
1100,2.33
1300,7.27
115,3.15
927,3.12
2215,7.71
295,8.5
524,5.83
830,6.26
823,6.11
2925,9.0
2682,1.43
2913,8.5
578,0.19
876,7.39
1630,0.92
2540,5.95
2124,5.64
2124,4.94
1368,9.0
2059,3.45
276,2.41
1944,4.08
2295,9.18
2330,3.1
1549,7.61
295,1.53
2106,2.29
1288,8.05
1804,3.16
1925,7.05
2429,3.61
1936,0.77
2888,9.75
2916,4.41
523,0.94
2947,1.05
1339,4.31
2593,1.54
2698,0.93
712,3.72
2785,3.67
2992,8.23
2356,8.6
652,9.97
617,8.7
1516,4.31
682,6.97
2338,0.7
2008,4.81
2370,8.72
779,2.11
2474,1.92
881,3.33
1581,6.01
2470,5.6
1589,8.74
2503,4.24
175,5.49
2352,1.66
1238,4.35
1301,4.38
2942,4.44
2324,0.97
1581,6.42
233,9.57
218,8.88
2864,4.36
1320,5.94
2961,0.8
119,1.33
932,5.68
1742,3.89
2237,3.98
2081,6.17
1039,9.38
1618,9.61
527,4.8
815,4.39
2843,3.31
197,1.6
2750,8.69
1396,6.7
2148,9.49
379,9.45
2906,4.79
2999,5.24
2604,7.05
2333,6.0
2443,7.02
1592,4.07
488,2.63
1408,9.92
1438,0.63
2811,5.61
117,6.36
849,9.52
1436,3.42
1141,6.06
204,8.8
2180,1.66
1375,4.37
2380,5.41
520,3.74
2625,6.09
1939,4.7
2913,2.16
2615,5.78
2573,7.94
736,7.39
449,1.21
922,2.68
1981,0.67
1523,9.94
896,7.74
1489,0.26
548,5.28
2183,4.19
1984,5.95
1273,3.1
1450,5.83
1387,8.67
312,3.12
2287,6.49
2798,5.69
2609,0.27
163,6.42
2542,9.28
1314,2.5
2821,8.93
2871,2.08
532,3.97
2670,7.33
1001,9.89
2992,5.13
2347,7.87
1146,2.23
1505,0.78
331,8.09
2528,4.1
1741,6.47
2279,8.21
2018,4.51
2187,1.69
1716,5.77
2961,9.02
454,4.21
1799,0.87
1323,4.39
709,7.43
2823,2.97
102,5.48
2254,4.41
570,8.17
2936,8.62
781,2.72
2279,8.03
1415,2.06
993,0.56
622,3.26
750,8.05
1787,9.72
2851,9.56
1661,8.85
1756,4.18
2667,7.59
1508,5.71
1703,6.31
2858,6.84
847,4.11
2872,0.52
2456,6.28
1735,4.53
327,0.39
1971,7.14
341,6.45
1393,7.54
2359,5.29
692,5.89
1522,1.31
1074,1.69
2135,4.26
1030,0.8
701,0.93
1390,7.18
2721,8.68
1433,4.06
2525,4.97
712,3.5
784,7.14
1209,7.32
1621,2.05
2548,7.53
847,6.55
1596,7.46
294,9.92
2661,0.27
2124,5.26
2877,7.16
1824,6.28
655,6.97
2861,7.64
2338,4.41
1826,2.38
2498,3.49
321,8.78
2736,2.55
827,9.11
1827,5.26
2809,6.0
262,4.25
1191,6.7
2906,0.21
1407,4.81
2570,1.59
2185,3.34
347,5.51
2857,1.76
1019,0.78
1198,1.88
1851,2.46
1382,1.26
2271,7.76
1845,7.88
1869,3.64
211,0.36
2394,4.18
693,2.33
2436,1.39
1063,9.99
530,5.59
1151,2.94
1787,8.5
1518,8.68
1864,1.91
369,8.14
1682,8.53
2408,2.07
371,1.34
150,5.69
2531,3.93
1741,3.84
1430,6.34
1109,4.92
1840,2.38
2890,1.86
270,0.47
