prefix,rate
1960,0.26
2403,1.3
2425,0.36
2206,7.24
2164,7.68
407,9.39
757,4.02
1311,7.35
978,4.35
1538,9.86
420,5.28
903,9.26
479,5.06
559,7.46
1213,3.76
1573,3.56
1491,3.18
943,3.29
806,1.98
327,5.52
232,1.68
2952,8.94
2388,3.18
985,7.55
828,0.99
1888,6.3
2835,4.6
132,4.85
814,4.31
416,0.56
980,7.93
2221,2.66
2452,8.6
1500,8.11
2688,7.34
2221,8.62
235,5.52
929,6.99
184,5.12
2451,8.37
1740,5.49
281,6.22
2052,6.08
1383,5.08
2317,9.43
2639,8.88
513,8.92
596,3.33
218,9.93
2558,1.03
793,3.08
1849,3.62
1657,7.62
332,5.76
2846,2.93
2115,1.63
730,4.52
2967,3.77
530,9.66
152,6.53
1270,8.51
891,1.87
2535,5.24
1706,6.11
2940,9.12
1431,8.9
1386,2.58
1505,0.69
2832,1.17
1416,3.56
2674,4.23
1209,0.14
1623,6.97
2361,1.49
2709,1.01
298,4.61
756,1.9
372,2.19
1232,4.68
675,2.21
2560,3.8
899,7.46
821,9.5
2647,6.14
2053,0.63
1129,6.28
1900,7.94
2852,0.91
2834,4.1
464,6.02
2403,0.53
2319,5.58
1211,9.48
824,1.16
2489,9.6
1404,7.79
2299,4.92
264,5.78
703,0.93
1398,7.0
2429,7.49
2106,2.1
891,6.06
2783,5.69
2620,3.4
1861,5.5
557,9.97
787,5.36
297,6.36
512,7.37
569,3.74
718,2.7
508,3.31
1210,0.12
2428,2.51
151,1.45
2088,0.89
2702,2.99
2950,6.73
608,4.6
832,0.18
2046,6.39
2080,4.77
963,5.7
2006,3.2
133,0.68
2751,4.23
1794,3.91
2808,4.39
1305,0.56
2153,5.05
2164,2.28
455,3.6
1912,0.4
2448,6.87
467,7.98
1147,5.73
1787,8.83
691,9.8
301,6.78
2023,8.35
1349,5.6
2194,9.02
853,7.65
1047,4.72
429,5.89
800,4.35
1502,1.61
865,4.6
1977,5.22
2833,6.29
340,8.77
2332,1.82
2410,4.43
2755,7.21
258,9.31
1451,7.08
1278,9.77
2396,7.91
2555,3.88
1773,1.59
216,7.73
2629,6.74
874,0.96
143,0.57
1911,5.84
2228,7.19
207,2.06
765,6.01
2828,9.93
2375,2.82
966,5.0
643,6.92
1027,2.38
324,2.04
1279,9.74
2966,7.64
2464,8.36
1002,7.25
552,5.32
621,4.09
1544,8.8
801,5.23
1716,8.07
264,4.45
352,6.23
354,3.74
1464,8.38
719,1.38
256,2.23
2938,7.95
631,7.37
1583,2.14
746,5.47
2363,8.68
284,0.28
2373,3.5
1138,5.36
1224,7.68
617,3.25
2277,0.64
2718,4.63
1284,3.47
166,6.14
1747,5.7
1216,2.46
601,5.11
626,8.54
1791,9.81
1521,9.17
1764,8.31
1598,0.82
1205,2.83
780,8.21
1045,5.65
2234,6.13
2932,8.11
210,5.18
1958,4.73
1349,2.06
125,0.33
723,9.53
925,3.61
2993,3.18
2082,8.12
793,1.24
1389,1.44
2044,0.31
1382,1.44
2641,0.2
916,8.61
2081,7.9
137,2.13
2613,7.31
967,4.19
2782,1.73
2622,6.13
1273,1.96
166,4.89
772,8.29
1167,6.23
1117,1.92
2414,5.74
403,8.07
1131,6.13
2559,5.2
1634,9.67
1132,0.18
1333,0.53
2281,6.63
725,6.34
1544,8.83
2101,1.55
