prefix,rate
1259,8.96
2026,6.86
2475,2.96
2732,4.72
791,5.2
2996,8.02
2868,4.97
875,1.08
2219,9.24
2833,0.5
923,8.58
662,5.6
830,6.08
2518,2.95
2639,4.09
2213,3.69
2235,3.25
479,3.45
1708,2.92
2829,6.38
598,9.87
1869,7.9
2469,0.57
2708,5.77
2221,2.02
1856,1.88
2950,7.19
1060,7.69
678,6.99
850,4.57
323,3.05
1287,1.11
1048,4.41
1225,8.44
1261,2.0
2077,7.19
1715,4.71
261,8.66
383,6.52
2169,8.05
2063,6.88
1294,3.97
2639,6.82
1329,4.06
2472,7.03
1722,3.43
328,4.04
848,7.13
1027,8.43
1943,8.25
768,3.07
1967,3.56
1126,3.55
2804,3.86
2079,9.47
1965,6.96
2142,6.94
2804,2.4
2053,3.03
796,8.9
584,0.84
2867,8.63
2332,3.95
2819,6.14
1258,0.82
2282,0.45
830,3.58
765,0.72
278,0.45
1430,1.28
556,8.56
1852,1.32
496,2.52
368,1.77
2329,2.5
2564,2.14
2561,1.25
2176,8.23
1720,9.87
2378,4.29
1787,8.76
1279,8.66
312,5.75
2001,0.75
1948,9.26
2687,6.73
305,4.27
653,8.7
833,1.18
277,2.66
1613,8.55
454,4.63
2130,5.72
774,0.83
363,1.69
2876,3.01
1886,0.67
2284,8.0
1850,2.21
665,6.42
1217,1.73
1530,3.31
1015,3.0
2433,5.39
847,7.23
1309,9.43
347,4.52
824,0.28
236,9.17
2822,4.83
2645,0.33
1285,8.32
386,7.58
1903,2.66
1168,1.96
922,9.89
518,3.84
2514,4.43
469,3.5
1319,1.32
896,0.15
2973,5.56
2058,0.82
898,3.73
2300,9.48
480,5.41
954,1.5
810,1.29
1247,8.57
301,0.29
875,1.0
2081,2.2
324,4.23
334,2.07
1578,4.13
1572,2.81
2315,8.19
2748,6.31
1515,3.89
2649,5.06
2410,8.29
298,4.44
1168,4.72
1526,0.62
530,7.1
967,5.45
2649,7.26
1735,4.17
2870,6.98
467,7.0
1913,8.44
1695,1.39
340,6.99
1015,6.2
137,8.56
610,5.11
1274,2.06
2987,8.45
2166,5.79
1100,3.88
984,2.64
2940,5.32
1919,0.87
1913,7.17
2137,8.96
2847,8.75
985,7.05
2363,5.42
830,2.27
2994,3.65
530,3.16
137,8.09
650,3.62
2816,6.14
713,9.62
2900,4.91
2415,7.58
525,8.74
2379,4.6
543,5.95
1430,5.08
1969,3.14
2727,8.02
1747,6.95
709,1.72
1313,9.29
1962,5.16
1734,0.75
334,0.81
1586,8.66
1503,9.03
1170,9.32
2867,0.41
1085,9.71
2906,9.86
2131,2.46
194,6.86
2061,3.59
2257,0.14
177,6.03
166,1.88
2065,4.19
1414,7.62
1921,5.24
2006,6.61
2485,4.25
2392,4.2
407,4.18
213,9.69
2198,4.83
182,0.71
379,0.16
1747,7.15
1358,9.59
2347,7.49
190,8.53
2794,5.11
1625,6.36
1264,5.57
1552,1.17
2270,1.88
2174,8.94
2816,3.47
261,7.43
2209,3.22
1690,3.32
2907,1.02
122,3.24
805,9.41
2438,8.15
1901,3.33
2003,6.89
453,8.14
485,3.05
2650,8.23
1118,1.08
103,0.9
2746,9.42
2120,3.99
2738,6.8
824,7.82
921,8.17
982,9.01
850,3.9
821,5.15
1132,5.32
1269,6.59
2099,4.57
1140,5.99
109,9.82
2481,9.42
2221,8.17
2093,7.0
2237,7.34
2411,4.12
2917,7.06
1923,4.29
190,0.76
2429,8.3
2361,8.9
378,6.67
1590,2.06
1799,3.98
2375,2.5
1241,8.78
917,7.36
699,6.77
2425,8.12
264,7.45
2809,0.92
2021,5.1
418,1.63
422,3.12
1265,4.51
846,4.75
1709,6.75
2129,3.29
2702,5.53
2492,9.35
467,1.59
1098,5.26
2990,8.16
2738,9.4
1462,4.05
1694,1.29
1051,8.88
397,1.51
2060,8.96
1262,2.7
1578,4.78
