prefix,rate
2084,1.9
1031,9.98
1204,0.99
421,0.3
343,3.16
1725,5.13
507,8.44
382,9.74
1360,4.61
2588,9.71
2279,3.83
2823,6.74
2346,2.68
1057,4.87
1229,9.68
279,0.21
576,5.4
1839,9.62
2138,7.61
222,1.72
2886,2.91
896,5.72
409,3.94
1655,7.63
2849,5.41
2014,6.75
774,0.37
1566,2.3
2975,4.93
2789,5.15
176,0.22
263,4.97
1256,3.37
2601,8.26
1272,0.59
2123,5.35
1018,8.6
1542,1.52
2578,1.94
1745,1.22
1096,8.93
1359,5.65
643,7.38
2337,9.54
377,5.98
2515,6.17
2250,9.45
926,7.51
741,3.01
824,8.58
2226,0.81
2733,8.14
1145,6.42
1393,4.2
1395,0.83
2152,3.29
2952,8.95
2241,5.23
1987,8.0
1783,1.88
495,6.96
977,7.04
1003,1.53
737,3.11
2561,5.98
2393,4.81
534,0.28
274,0.95
2626,3.41
1548,2.78
2286,8.38
1113,4.44
177,3.44
526,1.61
438,3.31
2549,9.73
2251,4.43
1478,9.23
1494,3.54
1580,3.8
1414,6.01
2006,8.98
2976,5.79
1265,7.11
1380,3.17
197,9.64
2489,0.86
1765,3.28
2398,3.68
1235,0.96
1533,4.31
541,0.95
2804,3.16
1965,5.04
426,1.65
2411,1.74
2019,5.89
2014,6.23
278,8.04
2437,2.05
2943,8.36
1444,8.01
2677,3.47
1189,7.55
2638,3.62
1900,3.69
475,1.95
1654,0.24
1822,6.98
1088,5.24
2584,3.21
2180,9.8
2037,1.36
825,9.76
280,7.5
602,3.85
271,5.74
1327,7.9
2788,0.3
766,8.75
1271,9.53
1302,6.13
263,5.48
773,7.9
1214,8.12
1458,7.07
2146,1.89
1876,5.08
2638,1.33
2022,8.55
1539,2.96
2405,8.53
645,7.51
1973,8.37
1272,3.58
1536,6.92
1886,1.29
2652,9.84
260,7.96
2060,9.4
1865,7.17
1795,2.72
168,7.77
2063,7.58
1208,4.6
537,1.57
106,3.27
143,4.17
2611,7.69
2916,7.35
1441,0.68
2085,0.34
693,4.71
1499,9.95
852,0.52
2451,9.71
123,4.86
1190,5.76
1161,7.38
171,3.47
2307,3.24
2923,3.49
2249,3.58
761,5.13
1126,8.54
2719,4.82
2664,3.68
2554,2.13
1063,2.7
264,7.21
2713,3.18
550,8.26
2365,2.03
725,1.26
2727,6.99
1398,8.63
1587,2.11
1647,1.68
1076,5.85
2821,8.07
523,4.46
611,7.36
2519,6.89
2540,2.32
600,5.78
1203,2.73
420,1.01
2519,0.27
2999,8.51
1711,6.48
718,8.8
1737,7.57
387,3.62
2698,8.74
2283,6.1
1181,5.11
1841,2.36
1584,5.18
2277,5.49
2130,3.84
664,4.35
276,4.86
305,0.92
1312,5.57
437,7.64
2719,9.78
2771,2.52
2201,3.77
188,2.71
1890,7.51
859,1.09
2789,7.91
143,3.48
1584,8.79
2828,9.41
1157,7.21
2971,9.74
1494,6.08
378,9.22
2890,5.21
717,2.98
207,1.97
1691,4.95
196,4.36
2215,5.92
1626,6.69
456,9.15
1877,6.59
1680,8.36
2706,5.88
2388,3.17
1414,2.25
869,4.21
1698,8.36
1818,2.64
1651,7.75
2401,7.8
1089,0.23
2534,5.31
2487,6.8
503,7.98
284,2.59
2382,0.16
387,9.45
983,1.85
983,2.69
1090,2.91
1132,3.36
2485,9.35
971,9.44
134,6.72
2013,7.03
2566,0.33
355,4.15
130,4.0
1049,3.29
2091,4.62
2725,8.26
617,5.66
1837,9.7
1875,0.1
1208,8.16
2248,3.23
316,6.99
1734,4.87
953,3.35
799,8.49
2560,5.15
2635,9.86
1131,5.49
2023,7.11
2470,8.67
2489,9.82
1676,2.53
2737,3.86
2677,5.71
795,7.17
1296,1.98
1701,0.81
537,7.97
2824,5.86
1969,4.71
2828,2.58
138,6.16
1048,3.59
133,8.52
2155,9.97
711,1.37
441,9.79
2099,10.0
2422,5.06
1791,1.79
1389,6.09
173,2.07
585,3.2
1290,6.55
204,5.97
2018,0.3
1601,2.05
1877,7.27
2153,9.37
128,1.84
453,3.52
1028,5.32
2108,2.82
2974,1.51
482,3.83
676,1.82
602,9.14
2788,1.09
427,6.06
876,0.36
331,2.3
1928,9.89
2203,7.25
2165,0.96
231,8.55
1406,2.31
2455,7.96
1118,6.67
2731,3.48
2296,8.68
1820,0.5
2133,2.72
663,5.91
964,5.85
2592,8.26
2034,9.09
1695,8.62
863,5.7
2337,9.96
1621,5.75
852,9.85
857,6.27
1530,9.33
1150,3.82
1306,1.82
347,0.81
500,6.72
2071,2.58
1659,2.85
613,8.22
1411,9.25
307,9.39
2550,9.6
2844,5.77
455,1.11
1501,1.95
1625,0.22
186,8.36
141,6.93
1392,5.71
1068,5.43
2507,1.4
2888,9.68
2427,1.69
2072,9.41
176,3.13
2732,1.29
2715,7.72
1873,8.73
2809,4.42
1770,1.55
2147,9.69
1988,8.42
1901,3.73
245,2.19
1460,7.87
2350,0.72
1627,3.88
2490,6.06
1566,3.42
2217,9.89
2439,0.53
578,8.44
2199,4.13
2489,9.26
941,9.76
791,5.42
321,4.92
2121,1.63
2175,4.16
2690,4.32
297,0.49
300,6.95
357,8.66
1531,5.5
1842,1.19
2261,0.28
2660,9.96
1555,9.16
738,2.97
224,6.11
483,5.44
580,7.89
771,4.68
364,8.6
320,3.62
806,0.26
1131,3.89
2576,7.29
1201,4.45
1465,9.08
559,6.08
2957,6.54
1346,4.35
703,3.14
561,2.68
2644,4.5
1749,9.96
2073,6.76
1238,9.03
1249,4.69
1362,7.26
217,1.72
1793,9.03
1481,2.89
370,8.17
1999,8.75
2966,2.22
558,9.76
2778,9.26
283,4.98
216,6.8
531,0.79
621,6.25
1672,2.07
1109,1.96
757,2.69
1092,8.84
602,4.75
2875,6.65
1890,4.58
1881,0.77
684,3.88
1506,8.05
1728,6.2
2141,2.07
789,2.91
1566,9.79
187,6.17
1592,3.32
1188,4.1
2674,8.23
2134,1.02
2528,0.76
2686,4.02
2576,7.5
1778,9.4
2130,0.28
1010,3.84
1095,5.01
510,6.23
1742,3.81
2023,1.47
2243,6.31
1055,8.05
1397,2.89
2230,2.31
571,2.86
1979,4.27
2927,7.55
988,2.79
2901,5.53
2464,9.85
2487,3.56
391,2.3
2863,2.97
2025,0.47
2126,8.33
2381,7.34
328,9.66
2510,6.14
2030,8.31
2636,3.07
2243,4.66
1804,6.19
2945,7.8
1524,1.91
1690,2.53
1956,6.03
2618,5.32
1534,4.53
1553,6.88
2980,9.58
2835,9.69
1380,6.01
717,6.93
1969,1.3
913,2.15
345,9.17
1725,5.86
2117,4.22
1277,0.57
899,9.5
2262,6.57
2276,4.42
2681,5.5
468,8.55
335,2.19
375,8.61
449,6.35
215,9.48
669,1.41
2607,7.74
327,3.98
2938,4.97
1998,7.03
1217,1.91
822,5.28
1828,0.49
854,4.39
1776,4.09
2332,4.23
1140,8.25
1961,2.11
2088,8.93
948,0.81
392,3.27
1916,7.43
2391,6.01
218,3.1
389,6.92
2216,3.6
2708,8.62
1163,8.1
2290,9.16
2915,1.55
