prefix,rate
2985,6.88
1676,0.83
2590,3.5
2551,5.61
758,3.08
1440,5.27
2559,9.53
2895,6.2
2790,8.83
644,1.35
2947,9.01
923,2.35
890,2.26
710,1.26
435,3.48
1922,2.33
742,2.08
2774,6.53
732,9.21
986,2.37
2918,1.84
1103,2.99
1368,0.42
1292,1.4
2348,8.31
512,2.37
805,6.23
1372,7.72
180,0.63
2240,3.93
2591,0.43
2683,2.71
1241,6.93
2211,0.91
116,3.23
2721,0.18
2089,5.33
1284,8.06
1140,8.94
1530,1.34
1436,4.78
2288,7.92
500,2.48
2206,9.43
2362,3.55
1482,1.61
161,6.17
740,8.72
1387,1.66
1069,0.11
1363,4.3
852,5.06
130,9.4
2818,6.78
1886,7.69
359,3.44
2627,2.7
1170,4.48
986,6.08
1513,7.44
2713,2.75
218,3.48
2247,9.69
771,3.56
2666,1.11
1415,6.04
841,9.87
2045,3.72
804,5.67
2969,6.37
2534,3.95
2248,4.07
2729,3.72
1718,2.03
543,8.25
2023,1.71
2476,2.52
2984,9.0
1968,1.68
370,3.76
455,9.42
1683,0.31
1497,8.33
2521,3.91
2235,1.8
960,8.91
413,5.59
1999,8.59
2621,7.05
2794,6.27
1546,9.82
1019,4.54
1321,0.6
2637,8.16
1489,0.3
821,4.05
1344,6.05
1837,2.95
1577,2.99
1507,3.85
1784,5.34
2075,9.27
888,9.72
123,0.69
1699,2.25
581,5.2
1795,6.66
776,8.85
2052,4.11
534,8.26
2755,5.1
1321,2.11
371,7.78
1055,8.63
1664,1.06
2896,4.43
2650,9.68
1122,8.08
897,8.37
597,2.22
2405,6.88
651,0.75
1634,0.31
785,3.59
2821,0.37
2039,0.2
713,2.87
2678,7.21
1735,1.94
1690,4.45
2660,6.52
2566,8.85
1444,6.22
1833,0.21
2560,6.65
1523,9.0
2710,1.09
1110,6.07
2318,9.46
1199,5.78
197,9.09
981,1.05
2164,8.47
2246,0.98
898,7.83
2555,7.59
141,1.43
723,4.84
1446,8.32
1019,0.2
2192,3.01
140,4.21
2169,4.01
1381,3.35
2848,9.29
1966,3.05
2977,7.09
2442,0.39
1934,3.21
1663,5.31
2482,4.55
2003,1.24
1797,2.83
905,2.69
1831,7.0
252,6.45
1137,3.28
937,3.41
190,2.47
822,9.58
1792,1.81
1478,5.56
2749,8.48
2311,6.92
865,4.8
1453,3.4
1661,8.13
2434,8.99
128,0.22
1936,7.39
1265,9.56
2951,4.26
2145,9.16
2257,7.99
704,1.85
2739,9.15
1387,3.45
589,6.36
490,3.14
790,5.1
1711,1.63
1471,2.5
2914,0.3
308,2.25
1462,8.67
1305,5.8
902,8.51
772,0.44
531,2.55
1930,6.08
1270,3.71
2891,3.58
1569,9.7
661,7.18
226,2.79
2535,8.09
340,2.3
195,9.85
2965,4.38
428,4.88
2808,6.9
1966,4.65
669,5.28
582,4.38
1823,4.43
634,3.97
572,5.48
2922,2.9
505,8.33
2540,3.09
278,3.82
2848,5.94
2602,1.75
372,1.07
1105,3.07
449,8.08
2675,4.98
2525,3.11
2140,9.33
2808,8.05
2568,2.04
1265,4.29
794,4.38
1028,3.06
734,5.57
303,0.57
2991,6.88
1092,5.43
2860,9.58
2638,7.73
522,3.49
1514,0.46
2532,5.22
1979,9.87
2271,9.99
2071,3.38
647,1.97
486,0.27
127,5.76
2885,1.68
551,3.97
2617,1.69
599,0.24
2668,3.1
2682,3.09
2113,6.88
694,8.46
2144,9.21
1706,8.53
1094,3.61
1823,7.22
2444,0.81
1837,1.84
262,2.81
1318,0.25
845,8.93
1247,0.78
1336,6.75
530,5.17
2635,7.88
2700,8.18
2720,3.73
1873,6.95
168,2.45
2149,3.95
2407,6.94
1393,3.91
1539,5.09
168,3.85
2284,8.63
1471,4.67
566,7.25
2954,0.67
1233,9.33
2896,6.22
919,4.86
1652,4.63
2856,2.07
1570,0.38
1916,7.69
1498,6.89
1970,4.82
1453,3.21
1535,6.14
1572,3.94
1496,0.23
123,8.5
735,4.0
2521,6.81
1762,8.86
1957,5.17
995,4.94
1382,5.62
1891,1.05
1785,1.2
1175,3.69
1248,8.12
2929,8.34
2231,9.26
225,0.84
597,3.62
2566,4.23
623,7.15
626,9.05
1703,3.59
1226,1.36
2786,1.91
1662,9.5
812,3.29
2763,7.14
133,3.71
2836,8.25
1252,0.51
2544,1.89
1487,6.41
2456,3.74
2492,3.28
1818,2.66
1176,2.48
363,3.16
726,0.35
2467,2.28
1364,4.99
2748,6.45
1982,9.92
887,5.08
518,7.87
787,5.02
351,3.78
2543,9.54
2427,6.86
417,6.99
2524,1.65
2185,3.16
1398,1.29
1293,6.44
2919,6.6
2797,8.59
2143,8.84
441,0.13
1631,8.58
2945,7.37
635,4.15
2844,9.24
1185,1.14
1647,4.63
2659,7.34
883,2.1
869,7.8
1110,1.77
186,6.28
754,9.39
219,5.38
2211,8.33
406,8.28
1786,6.64
2959,6.24
1313,5.68
2385,6.09
2162,5.98
2181,7.94
1767,9.15
1571,9.92
818,9.65
588,7.6
2521,9.93
1517,2.15
1506,6.88
782,2.34
979,0.72
404,6.59
1706,6.86
1427,0.83
476,5.75
2637,3.79
1613,7.5
1534,2.98
328,3.19
1814,1.52
1502,6.5
1986,6.67
151,7.68
939,8.48
2099,9.53
424,3.89
2442,9.61
1129,7.9
950,4.07
1079,8.99
2692,9.86
1089,2.78
313,7.53
166,2.89
2491,6.31
982,6.53
1955,8.0
1482,9.45
1200,7.3
2604,9.13
1235,6.55
309,8.76
1434,7.17
627,5.98
1059,0.97
2116,0.77
291,1.34
2398,5.12
904,8.59
164,0.7
1005,4.69
221,2.83
1198,5.5
2272,0.3
2747,0.25
2300,7.88
2846,1.89
2905,5.36
1315,7.11
1795,1.27
2977,3.28
2631,4.8
2426,3.63
911,8.69
271,6.95
1844,3.56
1491,0.94
2601,8.21
625,3.58
505,7.48
2278,3.34
1379,5.48
2049,7.92
1830,0.58
772,7.31
838,2.48
2667,6.72
836,1.94
535,6.49
2695,1.96
1751,6.19
777,9.63
274,3.43
1495,5.43
1983,1.11
2347,3.22
1313,6.31
786,4.99
1400,1.52
1874,3.54
2144,4.85
2691,3.89
1122,5.6
1496,4.11
2154,3.83
2147,3.66
2185,0.17
1477,2.57
2043,7.85
904,2.28
672,5.16
1327,8.0
969,6.06
2770,1.0
2291,6.43
129,9.23
1514,0.33
1549,0.8
1939,2.41
644,3.36
2521,4.11
1433,9.41
2905,7.5
1145,0.11
518,7.91
129,2.19
2445,4.74
2366,6.82
2627,5.42
415,3.26
1635,6.61
560,1.1
2898,0.24
738,5.05
2283,9.41
2108,9.92
336,3.35
2999,2.82
560,0.71
2015,6.27
629,1.54
2929,2.01
2994,1.71
