prefix,rate
2367,7.77
2155,5.3
2313,9.78
1430,0.74
1963,2.98
726,0.89
2990,0.55
2203,5.16
543,9.54
2221,7.53
1817,3.59
1453,9.76
1331,2.56
960,1.42
600,4.92
798,7.57
1838,1.96
1146,7.76
2279,3.02
2715,8.79
2389,6.97
609,1.33
2033,5.86
2358,4.78
307,1.37
1118,2.02
1575,2.42
2690,2.76
2208,0.14
2448,2.45
1467,8.31
1039,8.62
1031,4.97
2126,1.49
2374,7.87
1667,8.28
310,3.1
1001,2.24
2228,7.84
1515,1.33
2880,6.7
909,6.56
199,5.34
1731,5.7
1871,3.99
1601,9.13
2265,2.77
1746,8.3
765,1.06
1335,3.08
798,0.26
1734,6.46
1962,1.63
1693,6.04
2205,3.26
183,0.63
1481,3.11
1609,8.7
848,2.0
675,6.8
2862,1.21
2661,0.99
2205,8.61
646,3.74
1394,7.58
345,8.94
939,7.08
284,6.99
817,3.76
1720,1.04
1462,0.68
2751,1.87
1854,4.11
610,0.11
2349,1.67
2398,8.04
1243,5.88
215,0.54
1919,6.19
484,0.64
2242,3.15
1753,0.32
644,4.09
606,8.26
2445,9.89
2139,9.4
2890,1.43
2738,7.47
2459,7.17
2495,0.4
2224,8.17
1025,2.84
673,8.97
1015,6.1
1752,5.3
347,5.02
2502,6.99
417,0.63
279,9.21
1737,5.17
926,6.37
2553,5.42
1481,1.39
2691,8.57
331,8.05
985,1.92
2728,3.48
1012,1.24
1511,0.27
883,5.55
2867,5.38
1896,6.78
2253,3.49
2242,7.08
1446,5.56
1081,3.08
2359,4.28
230,1.44
2029,6.44
223,4.45
342,7.88
1564,6.09
1781,5.89
1009,8.83
1899,0.24
278,3.62
324,2.1
1940,7.89
1561,5.11
2442,9.4
2080,5.25
2836,5.14
1191,6.02
223,4.31
965,3.82
1953,9.07
161,6.5
238,1.14
1757,5.51
1751,0.67
2973,2.14
1432,6.71
1420,3.19
1365,6.15
1745,8.42
613,3.07
1304,9.37
1950,4.89
378,1.74
2068,1.83
1404,6.6
2846,9.34
449,5.98
