prefix,rate
2711,5.41
1461,7.06
1576,5.8
2495,6.63
1956,7.09
1066,4.8
554,8.69
1414,3.94
448,9.91
2356,3.71
2384,3.94
1793,3.58
106,9.52
1338,6.35
2944,2.67
1740,8.67
1779,6.14
2690,2.76
1654,2.64
537,8.87
2382,9.52
1145,6.29
381,5.21
518,4.98
2266,3.62
2943,9.14
1952,7.8
529,4.78
227,3.31
1934,4.94
1301,8.79
2041,2.09
490,8.88
147,2.31
1396,3.02
1417,9.46
1616,6.03
2714,7.97
2814,6.96
634,7.68
2278,9.17
598,4.1
1785,7.35
456,2.77
2027,8.38
903,0.41
1686,3.07
548,0.58
1703,0.78
487,2.23
2880,9.11
1651,3.5
1378,5.66
2820,1.1
1766,8.42
2197,5.58
2703,0.76
1226,6.79
1522,3.43
1693,4.79
2743,3.67
593,5.07
736,7.41
1725,3.73
1637,7.78
1659,4.43
353,4.82
2918,3.48
2725,1.39
1198,4.88
1050,3.9
615,7.77
1328,9.0
1502,7.42
2372,9.69
808,6.37
2336,8.54
2768,0.36
2194,5.21
1821,3.61
2695,4.02
1010,2.19
2612,2.61
1479,6.94
708,0.53
2145,8.39
971,5.43
1832,4.48
1623,9.32
1751,8.21
757,6.04
2398,1.69
2420,9.96
2121,6.89
2505,0.57
1470,0.24
2366,6.2
237,5.7
2413,7.93
2177,3.04
2006,2.31
814,2.87
2324,7.74
700,5.39
2000,3.76
2766,3.44
1100,9.28
809,6.75
698,0.89
611,8.67
618,5.67
2996,2.93
1636,2.84
2928,7.13
1543,8.9
1699,5.7
2809,3.59
1013,5.47
446,9.79
1478,3.4
736,7.11
1515,4.28
1465,1.33
1740,3.15
412,4.1
629,7.4
2212,9.69
2918,7.4
1373,6.22
671,2.87
704,7.92
1284,5.92
2184,6.2
1088,7.3
1640,3.92
2856,6.81
1268,8.22
519,6.44
1759,1.84
2782,7.93
1708,3.66
1498,7.69
2765,1.43
1399,1.79
431,2.82
997,2.51
1530,7.36
2492,5.28
983,1.9
295,7.78
2593,2.9
1553,7.86
1144,0.37
602,0.48
2074,6.89
843,4.03
1810,6.15
740,7.33
1939,2.91
1868,4.29
1984,4.73
2195,1.44
1527,6.99
893,6.0
2008,1.93
2223,9.23
258,4.58
2160,4.63
913,4.79
2431,7.81
1804,6.08
2833,3.98
898,2.5
1294,9.99
420,5.24
1684,1.78
2600,2.96
2273,1.31
2548,4.66
1235,8.27
1317,8.47
982,5.81
386,2.72
173,8.38
701,6.78
751,5.67
1947,4.63
820,2.36
243,5.77
1367,7.33
2167,1.13
859,1.26
1477,8.97
1528,6.86
220,2.9
534,4.79
1860,5.27
1575,4.59
1985,1.15
2729,5.62
1173,4.27
151,0.51
475,0.67
2911,1.05
1931,3.71
990,4.1
985,9.35
2429,3.53
1893,6.06
2941,9.92
2439,8.71
831,5.55
2343,8.62
183,7.96
2925,8.9
2483,2.52
1067,2.3
879,1.5
