prefix,rate
1812,4.33
1604,5.22
2031,3.04
2257,4.77
2114,1.32
232,8.15
2218,4.46
2377,7.59
170,2.55
2243,5.65
2219,8.76
467,8.19
1576,2.97
703,6.46
2302,5.73
318,6.91
2947,5.15
1685,4.67
2489,4.03
2468,3.93
1122,8.37
607,8.31
618,9.33
179,7.93
514,1.47
1543,0.39
1623,2.37
2174,5.1
2720,8.21
471,9.18
1092,0.64
935,3.2
230,2.69
1902,8.36
2132,7.11
1746,9.28
2071,4.86
100,9.34
1345,7.41
1730,9.25
1124,0.56
1263,4.04
2050,7.67
1790,8.05
2731,1.37
151,2.12
2304,0.5
1276,6.95
2239,6.53
1298,5.44
2210,8.42
2033,4.9
811,6.69
648,6.76
840,6.81
1252,2.47
911,7.25
804,1.99
2129,7.9
1527,8.02
2974,7.94
311,5.33
2533,3.83
801,4.49
877,0.38
408,5.96
527,8.02
201,1.79
2491,3.71
1412,7.61
2935,4.97
2707,7.76
2657,5.12
297,0.65
192,5.02
1898,0.52
933,7.67
264,6.5
1464,2.03
1433,1.64
2738,9.14
1128,8.13
442,1.07
1399,0.73
1033,4.91
1996,9.73
2946,5.65
2594,3.74
1936,9.02
391,5.05
586,1.78
1151,6.5
918,7.26
2974,7.68
2652,8.94
1024,7.24
2803,1.08
2665,4.29
1374,7.08
2587,1.34
2529,5.69
1436,0.39
2963,3.1
2216,0.37
488,7.33
2771,6.32
1934,1.1
2165,8.45
830,5.1
2927,6.82
2303,6.06
511,6.26
1951,7.95
525,9.97
2085,1.97
1068,5.37
231,7.39
1550,8.9
551,4.08
1194,2.1
156,4.71
1622,2.33
2910,3.87
1711,3.51
514,8.35
981,6.15
2674,0.24
446,4.88
1018,6.61
1993,3.79
1898,0.23
162,3.73
130,0.73
1357,5.19
904,1.15
2205,0.34
1091,9.56
1517,0.89
2079,9.1
2212,5.47
2740,9.03
1118,0.35
2971,3.6
1621,3.37
1364,0.36
2302,8.39
2280,4.53
783,8.1
777,2.57
730,8.81
2823,8.4
2290,2.48
540,1.92
2406,9.95
716,5.41
586,9.73
2852,2.32
1631,3.54
664,4.52
962,3.56
2174,3.03
273,4.44
680,5.54
411,6.7
1089,1.56
2938,1.94
2984,1.76
247,7.17
2324,8.3
2389,9.51
851,0.72
999,8.09
799,8.1
2792,6.71
1663,6.83
988,5.5
1369,7.48
2714,0.9
1625,3.1
2005,5.67
1145,6.16
1472,0.4
2140,0.62
1559,6.49
761,1.26
2061,9.92
2482,1.42
2353,7.99
339,1.36
2439,4.57
1630,0.81
927,7.59
1038,5.14
990,0.57
2002,4.72
849,9.51
1828,9.98
2001,3.68
2372,2.17
1934,1.87
2482,5.5
2576,6.1
1896,2.83
452,3.02
160,8.56
473,5.21
1032,7.36
2877,6.16
687,4.38
2273,6.85
1534,2.26
785,6.8
2884,6.46
1164,6.94
2079,0.16
2939,3.71
1563,2.6
1949,4.68
2880,7.93
2015,2.45
1442,5.26
335,3.08
2880,2.48
2326,6.5
2277,6.03
1683,3.74
2011,5.07
999,4.88
1444,3.57
1810,8.56
1486,3.57
457,8.06
1456,7.13
1220,4.83
2523,2.85
1177,9.66
633,7.44
2895,2.48
690,8.67
2551,2.37
2449,2.17
1669,8.65
1719,1.47
2458,3.74
1551,6.75
2692,4.35
1558,5.46
159,7.96
2769,6.93
2317,1.89
2782,4.48
1571,7.99
2099,4.14
1877,0.43
2819,7.27
1574,9.2
2597,2.23
1341,6.64
2842,0.37
1333,6.08
2355,2.13
1413,3.75
1339,6.67
141,5.32
826,3.94
2270,5.87
1369,9.55
1997,1.62
284,3.46
440,3.5
448,8.09
2871,4.3
867,3.32
1106,5.14
1800,5.31
1508,3.03
2523,8.8
1108,1.29
1279,7.06
252,0.79
1702,8.84
622,8.89
2797,5.26
1481,7.93
1950,4.56
1816,5.83
2806,4.77
720,8.27
1047,3.4
2057,5.48
1289,8.35
2390,8.29
1395,0.17
2417,2.16
2745,1.76
2795,4.11
2378,5.25
2319,0.68
1428,5.62
1390,0.76
434,0.39
2076,4.61
2347,7.31
1470,8.05
1095,7.48
1277,6.91
1366,5.89
922,6.8
273,8.52
1779,8.89
996,8.97
577,3.14
2276,2.62
157,5.88
974,6.46
1621,8.68
311,9.23
2056,1.66
1157,7.35
232,1.42
2558,2.65
2536,3.13
1049,3.34
2033,8.63
2526,1.09
2812,2.92
2454,2.7
2838,6.72
2815,8.21
1873,7.95
1237,4.51
2763,8.91
1246,1.07
425,1.11
1122,2.85
1241,5.49
173,7.48
2347,5.16
161,5.36
2540,9.83
2483,1.81
1935,9.94
2664,5.5
2710,5.17
438,5.31
611,4.79
2473,1.01
1860,3.6
1083,9.19
2749,6.99
1233,4.05
1341,0.92
2597,6.71
2203,9.58
2508,5.91
2951,0.8
919,0.29
1895,5.19
1910,3.58
1645,8.94
1875,0.32
2267,4.93
2957,3.28
1322,2.85
2578,5.2
1529,5.89
633,2.12
293,8.1
2304,2.92
1435,4.14
2067,8.33
159,7.41
2818,1.26
2211,2.99
2846,6.57
509,8.35
2020,9.89
2109,9.35
383,0.33
1860,0.54
519,2.78
2949,8.54
2047,3.32
2195,5.35
2831,6.43
2406,2.18
647,8.69
1083,6.62
2729,2.24
2860,9.69
1096,2.19
1309,5.43
1880,9.46
1765,1.29
491,7.17
2568,6.17
1799,0.14
1180,7.6
1845,5.24
1946,8.8
1289,8.88
2503,3.49
2605,9.32
590,6.22
2357,0.53
1504,3.9
2585,6.12
1735,9.32
565,8.16
791,7.45
1955,0.78
484,3.38
2223,9.15
925,7.54
2800,9.04
2048,2.18
2724,0.47
1104,9.46
1728,1.72
1061,6.68
1314,9.76
2424,3.94
478,1.09
1416,3.68
1983,0.71
1611,3.85
988,5.29
913,2.22
2584,1.44
1971,7.57
277,0.51
1730,4.62
2536,5.25
1601,7.11
1313,4.49
1845,4.7
1415,0.62
2755,1.67
897,3.67
2716,1.75
2759,6.54
717,9.74
2482,3.55
881,7.27
2220,2.53
195,10.0
287,9.7
402,2.27
1685,5.83
300,7.66
2288,8.4
2525,8.47
2420,2.89
1231,6.28
1786,0.61
1314,5.11
2395,3.83
1219,5.1
1095,2.03
1271,5.98
1585,1.73
612,9.39
234,4.8
2346,2.53
1255,4.82
2031,4.08
1431,3.46
2748,7.87
969,7.32
1893,2.55
2117,2.66
1739,7.33
1832,9.65
2438,5.26
115,8.35
1298,5.79
1060,4.47
1680,4.84
1874,8.91
236,2.61
1348,4.13
2570,4.28
1116,7.42
1329,8.28
1024,0.76
538,1.08
1262,6.74
1104,4.65
307,5.59
1053,7.28
1101,6.21
497,8.68
1949,2.26
2550,1.81
2416,9.44
1257,4.84
2071,1.27
2141,6.23
1961,9.34
1456,8.25
2520,5.65
1958,3.01
2250,2.13
532,0.23
270,0.23
1738,8.53
264,7.28
441,1.67
1692,3.86
462,1.87
228,2.63
1714,5.1
887,9.58
323,0.8
2269,5.35
544,6.07
1446,1.74
2023,2.33
2834,5.85
2898,1.11
1509,9.17
1632,5.25
389,6.5
663,9.57
2429,1.66
2743,6.58
2215,5.48
1026,2.2
735,6.15
1221,4.49
1426,8.88
2519,9.61
2140,9.97
1197,2.3
1854,4.63
1595,2.63
2801,7.07
1799,6.58
1599,7.27
