prefix,rate
2562,1.43
1767,8.55
2016,8.43
707,2.24
263,8.42
680,7.97
477,8.08
115,3.96
677,9.4
498,6.66
1433,2.7
669,9.6
2412,8.49
2172,9.43
2416,8.1
2634,7.17
296,0.58
1234,3.27
2786,6.47
370,8.19
590,6.79
899,9.58
698,2.06
2355,2.07
1525,1.63
2000,5.71
2702,6.36
1647,9.73
332,5.94
748,9.03
2197,0.11
177,8.27
2863,6.99
865,1.09
1955,4.24
142,10.0
2714,1.23
856,9.6
2653,4.73
1276,3.76
2132,1.97
2381,4.05
2467,5.36
1222,5.53
378,7.34
388,6.05
2351,2.64
2846,7.57
2464,6.62
1741,0.63
2134,6.88
1434,9.18
477,7.54
298,7.87
2908,1.38
2634,8.5
192,6.85
995,7.34
2459,8.08
1129,4.93
2911,5.87
577,5.15
551,6.47
2715,9.75
2720,4.89
2359,6.11
1074,2.86
2934,4.76
1723,0.25
539,1.06
888,6.6
621,6.56
813,3.72
2303,7.08
797,1.92
2395,2.64
2254,1.28
2582,0.32
2717,8.61
1378,8.27
2738,3.64
424,5.8
2889,3.9
1659,3.53
1711,4.95
1763,6.0
992,1.35
1037,2.11
2827,8.9
170,1.03
554,9.36
895,6.83
1119,7.62
275,4.73
2586,8.31
1514,6.9
2452,7.82
498,7.88
1696,3.32
1432,6.67
1943,0.66
1289,7.48
2190,2.75
1771,1.34
2807,9.15
1017,2.73
795,8.33
1394,8.18
997,8.54
1231,5.64
511,5.18
965,4.92
1538,6.98
2703,6.96
1645,0.83
2512,9.75
736,9.1
1982,3.71
1655,2.27
573,5.61
186,1.04
1687,0.41
735,9.07
2586,7.44
2525,6.74
2869,1.97
1739,7.34
600,6.01
884,6.86
1958,8.31
830,2.16
2741,2.48
2216,6.72
1903,5.78
2742,7.3
710,5.97
2185,6.83
2383,4.46
1619,6.11
1755,1.18
2435,1.53
345,4.89
1218,2.61
2890,2.89
2902,9.41
178,8.73
1564,4.4
2131,1.4
1835,6.04
2613,5.69
2822,8.71
368,9.82
395,0.58
2701,3.25
1216,2.42
808,7.96
2769,0.42
217,7.97
1569,6.76
520,4.4
2911,1.96
2974,7.85
648,4.15
1061,6.66
299,4.92
1108,5.1
473,6.84
1167,6.51
2468,1.69
666,8.13
2425,5.38
2499,5.39
926,4.09
1472,2.64
355,3.14
2908,8.07
2912,7.62
609,4.38
2580,9.59
677,7.91
1058,3.32
2637,8.48
1734,2.35
808,6.47
680,4.25
404,6.91
156,6.63
813,3.26
2075,5.44
345,8.65
1800,8.21
1987,4.6
2592,3.52
2129,9.74
2951,5.96
1662,0.82
1823,4.02
2043,8.21
1153,0.8
479,6.55
934,3.89
1177,6.76
1356,9.55
1828,0.87
908,5.84
701,2.46
991,9.68
1360,8.07
305,7.39
2488,4.09
1891,0.35
611,0.47
643,3.5
414,6.26
2121,8.54
798,1.56
2773,0.14
1790,0.68
674,4.45
2719,4.53
1221,1.62
1302,5.44
466,8.29
1959,1.63
843,5.39
2852,4.56
433,2.83
2956,1.31
1424,5.6
1631,3.11
506,8.57
764,4.38
1851,2.81
2425,8.74
2726,3.96
863,4.03
1239,7.63
886,4.7
2409,4.84
987,9.36
332,4.28
1900,5.62
1789,9.2
1909,4.51
1086,5.59
392,1.3
1165,8.76
2034,0.55
1081,1.18
1813,3.93
1264,7.74
407,2.27
313,9.83
2392,8.49
1710,4.62
2204,7.92
2400,4.4
506,3.71
1806,6.04
456,1.19
1012,7.01
594,4.77
205,5.28
1207,1.43
1136,4.65
195,7.83
884,9.9
973,6.72
1264,9.88
1331,7.82
2578,0.25
1491,1.76
1545,1.47
2583,2.38
511,2.15
2990,4.95
2935,1.1
1387,3.52
2149,2.66
1239,9.63
2525,9.29
1007,1.01
2599,4.37
497,6.6
2720,1.35
2121,4.75
1204,9.5
277,9.01
2368,2.16
414,6.62
2549,9.44
697,3.56
2042,4.83
2735,9.11
1119,5.98
471,0.29
2216,4.69
1233,7.8
2482,2.53
2069,1.15
1343,1.72
486,2.89
2203,2.06
2924,7.17
1238,9.86
1369,1.73
2236,5.77
2548,6.94
1420,4.61
1550,5.85
1275,6.84
402,6.04
914,3.87
1241,9.65
2692,6.2
1500,4.89
2144,6.65
2269,5.58
2419,8.76
557,4.14
779,3.89
604,0.92
542,6.97
1748,8.91
2778,8.34
1593,3.72
190,1.66
883,6.59
716,9.32
539,6.26
2065,8.72
1196,8.29
1318,4.18
1311,8.84
2608,8.9
1029,7.17
1194,2.62
2835,7.65
1063,0.98
2550,8.31
1951,3.09
1628,6.25
2851,6.52
2663,1.18
2220,0.33
1836,7.32
2193,0.28
1860,4.35
1503,8.2
1562,9.5
2311,3.33
2688,8.4
1043,3.18
475,2.84
