prefix,rate
1912,1.27
2901,0.58
1297,9.34
671,3.73
2244,5.19
184,5.91
2899,2.6
220,8.62
411,8.09
1831,6.37
679,2.93
2375,7.8
2760,3.09
601,3.85
2205,4.82
1381,8.1
1138,0.67
2268,4.28
2507,9.93
1032,2.94
430,6.99
2568,6.22
2637,8.14
2435,8.89
577,0.6
1825,8.47
430,7.95
2234,0.57
854,5.56
1111,2.48
1452,9.45
2583,1.4
2166,4.61
1699,7.33
240,1.7
2022,7.23
2607,6.39
1702,3.78
2093,1.06
1436,8.96
2453,2.92
1644,3.66
845,7.72
1800,2.24
2670,3.58
728,3.35
1755,9.67
2064,0.87
633,2.22
561,2.36
1439,2.22
473,6.11
1891,3.21
1856,3.05
1228,5.05
2081,6.65
2613,4.28
1476,4.01
2909,5.51
839,2.02
201,7.98
125,3.39
121,4.52
2020,2.81
1196,0.62
654,0.25
2612,7.01
1768,6.33
1970,6.6
1990,0.18
221,6.29
2179,5.14
1371,6.06
122,8.81
753,5.37
322,3.88
809,1.9
1128,1.4
1903,3.75
908,9.55
2593,8.26
959,2.14
2188,9.3
264,2.94
294,0.26
2632,3.03
508,5.91
965,3.18
509,8.72
526,3.68
584,9.46
2306,9.39
1824,1.55
434,0.91
2781,8.64
711,9.16
1271,4.16
2038,9.64
2315,5.27
1082,9.63
2537,6.41
1301,0.77
1105,9.62
641,4.84
2622,7.97
1820,9.78
1636,8.71
505,9.59
841,3.88
1451,1.33
883,1.58
2975,6.26
1933,9.55
2559,6.35
1813,7.78
1947,7.66
2111,0.88
724,8.68
298,5.45
2237,8.32
2075,4.16
314,4.57
1067,7.78
2286,2.44
1816,2.46
692,3.75
1689,1.37
712,2.67
360,9.62
189,1.29
1851,4.25
2275,8.45
2798,9.05
1223,9.64
1754,4.09
1884,6.56
1252,1.47
1786,8.34
1662,5.26
1029,0.92
1294,1.09
682,3.0
2915,9.03
643,4.83
2044,4.99
2348,9.58
110,7.92
1497,1.88
976,8.59
1766,3.34
969,1.82
1663,4.97
2808,2.4
204,6.34
2485,5.81
462,6.4
440,2.35
1759,6.99
229,4.73
1942,7.85
1386,3.62
2984,3.97
1673,5.86
1302,7.28
2656,7.96
1058,2.52
613,1.92
672,4.46
1974,7.16
1653,7.77
2902,0.45
2596,2.82
1692,5.21
2146,3.45
2387,9.82
2549,4.13
675,2.58
2096,5.65
508,0.56
2814,4.7
2042,8.92
1137,3.13
2720,9.67
2001,6.64
159,6.63
2207,3.8
2308,7.13
2433,1.68
887,5.12
554,0.76
1509,2.81
1621,9.57
541,9.69
521,2.44
2682,2.35
1990,1.65
973,7.72
537,7.44
409,6.96
1089,0.79
388,2.37
588,1.12
582,1.44
2105,9.21
192,2.79
2919,1.97
568,2.05
1675,8.72
2988,7.6
660,2.13
2618,7.57
635,3.22
1219,7.27
1564,3.77
2409,7.75
429,9.82
2373,5.45
1604,8.37
2605,2.52
857,6.73
639,8.59
1439,7.3
905,8.54
1488,8.65
2796,9.77
292,9.63
806,5.88
915,0.2
1742,3.22
1436,3.43
2815,3.34
189,5.91
401,1.92
2998,2.75
1660,2.31
2190,7.01
2749,6.65
208,2.13
1175,6.93
580,4.28
454,8.81
2803,9.74
1636,7.7
1655,3.3
2611,0.46
493,7.63
2348,4.39
407,2.28
1998,0.42
1282,4.51
863,1.88
378,0.36
421,8.49
