prefix,rate
897,0.32
2569,1.52
1887,6.24
762,1.84
600,6.98
2979,8.62
2019,2.68
1428,6.17
1264,5.88
2541,5.83
926,0.23
1142,1.23
222,3.58
1213,6.31
1080,0.33
135,4.13
1418,4.86
2494,9.25
2875,5.68
2141,5.96
1663,4.96
145,1.73
1122,5.46
2439,2.45
106,1.54
176,6.58
308,6.64
334,3.81
854,0.33
403,3.77
1396,6.91
832,5.53
1183,7.08
2847,5.74
2416,3.25
1348,2.38
313,9.78
1193,5.75
1092,4.38
2669,4.4
992,4.46
1457,5.12
1880,5.88
2371,8.69
1708,8.28
268,6.46
305,8.54
2528,3.46
783,2.75
1217,7.88
1068,8.99
2802,6.53
1362,9.97
998,0.4
1566,7.57
197,3.27
333,0.28
2927,8.07
187,6.92
877,4.47
990,9.92
2922,2.74
535,4.05
1947,5.15
243,1.48
1031,2.21
947,4.63
1206,7.45
303,3.93
440,4.64
1091,4.53
2396,0.96
588,6.45
1525,2.21
2677,6.57
217,8.2
2283,7.12
795,7.11
633,5.17
1081,0.57
2696,2.88
995,6.92
1449,4.23
929,9.13
966,4.14
2673,2.23
1902,4.76
235,4.56
1258,8.46
836,1.33
2716,3.9
703,9.68
693,2.83
441,1.59
1668,9.94
2191,8.29
2233,0.82
418,3.08
2207,7.96
1704,3.36
716,8.61
1085,0.59
907,3.05
361,1.88
2920,4.93
529,0.74
1343,5.67
504,2.81
802,6.34
258,4.43
782,6.8
240,6.96
2227,6.82
2199,3.39
1463,7.49
2316,5.54
815,4.71
2793,4.12
1061,8.06
1793,1.06
486,3.04
1968,9.06
1325,0.36
2223,3.94
1090,6.4
1736,0.6
989,4.05
295,4.25
467,1.14
2257,1.74
2275,0.41
2270,3.85
2325,0.53
371,6.54
2462,8.5
727,1.62
2498,2.51
151,3.61
974,3.92
201,6.31
212,7.19
649,4.9
138,1.17
1952,0.12
2020,0.45
1705,2.72
909,1.7
914,9.73
1899,5.02
1832,3.15
452,1.1
2909,0.1
1985,5.25
814,8.57
2179,1.77
1361,0.62
1576,1.26
1825,8.39
2171,0.59
2590,7.32
1412,9.03
851,3.81
652,2.81
1424,5.74
2282,0.38
2223,4.43
141,6.07
2595,1.36
2334,9.52
616,6.09
1254,5.55
960,6.38
273,6.35
1789,3.08
629,8.4
576,9.41
1354,8.43
2246,6.3
856,6.81
710,3.13
1231,8.94
1404,3.07
736,9.38
2627,9.37
428,9.21
1496,4.21
2327,6.81
1670,6.49
1914,4.72
2107,8.34
2232,5.17
2246,5.36
2684,7.35
2274,7.51
2321,4.21
1876,8.34
774,4.4
2857,6.01
871,0.37
327,3.49
2266,1.77
2628,5.39
2796,9.48
1322,8.79
2472,6.97
2134,3.09
310,6.44
2548,7.63
1024,0.12
1226,2.69
1309,6.97
1163,4.9
2102,2.62
1721,6.34
594,1.46
1362,1.97
416,1.47
669,1.75
2918,8.41
2296,4.47
1691,1.64
1106,4.32
939,6.63
1536,9.69
1196,9.89
464,3.08
335,2.04
2098,7.95
997,6.31
2701,0.65
432,6.94
2995,3.49
1458,4.0
1900,1.6
1145,1.99
2359,3.36
2681,8.63
1695,4.05
2569,7.52
2470,7.67
1789,4.04
2108,0.71
1199,8.84
1124,1.39
2590,3.21
2058,6.15
113,7.48
2690,7.08
154,4.43
1153,9.12
2336,1.76
600,0.94
2848,5.66
2726,4.66
300,7.56
428,6.49
2252,5.79
2164,3.88
1397,4.75
2770,0.53
452,4.67
2032,0.45
2454,2.0
2969,3.58
1460,1.3
525,9.45
978,1.51
1838,5.04
1136,6.78
2224,2.23
1721,5.98
1587,0.89
1021,9.65
1418,9.53
2300,3.45
2001,3.63
2879,5.78
2656,4.61
2272,2.62
1601,1.07
1713,5.35
440,1.52
569,7.1
768,6.05
2496,6.61
849,0.6
2449,1.61
2507,8.93
2953,5.81
2353,2.95
1309,5.44
1381,9.1
840,9.87
353,9.87
2126,4.38
2876,9.03
2281,3.61
1673,5.62
347,7.44
1673,5.04
162,0.82
130,5.64
529,7.36
583,1.42
1216,6.16
124,3.36
2803,7.71
1538,5.94
1416,4.11
688,9.1
1425,7.74
1865,0.84
257,8.42
2780,1.47
2151,5.86
1895,6.79
300,9.45
423,2.73
1885,9.58
1112,9.44
937,5.19
671,5.85
2861,6.35
258,9.33
702,6.98
2105,3.89
1272,9.9
363,9.67
2084,8.22
1637,3.29
950,2.87
1954,3.17
1343,1.98
1600,8.61
1741,4.79
344,5.07
1217,8.4
126,4.44
1496,2.38
2078,4.37
913,9.02
2355,4.92
2607,4.04
1133,9.36
1556,7.47
1179,3.29
1281,4.64
2638,4.73
976,6.04
2181,7.5
202,4.35
1032,6.24
2406,4.21
2685,9.46
1914,2.63
1157,1.88
772,1.83
1436,0.14
1478,9.04
1993,6.55
2957,0.84
2026,5.17
1437,8.66
2588,0.48
1432,0.47
394,5.0
2626,2.17
2116,0.29
2185,5.03
252,8.17
1284,9.83
1999,5.6
2697,1.27
1903,9.87
1816,8.64
837,5.97
1633,5.73
2665,6.17
2175,6.62
2069,2.41
2304,3.45
2504,0.14
1291,6.91
2107,6.83
191,1.84
202,8.54
2396,8.61
187,9.42
579,8.57
2494,8.88
2772,8.35
889,3.51
2039,0.92
1292,5.01
2274,8.03
277,5.34
2254,1.03
1745,2.65
826,0.36
2039,4.13
521,9.11
920,5.03
1009,8.05
248,4.39
1453,8.75
801,9.67
797,4.96
725,3.05
1971,6.01
2481,0.2
2473,6.59
1834,1.85
2934,0.73
576,9.35
1133,3.35
819,8.7
168,6.49
1858,5.36
1631,5.48
2082,2.71
2521,1.23
1947,7.83
453,9.04
1915,4.02
1092,2.36
2998,0.58
2105,9.34
2206,6.66
2481,8.79
2246,0.6
2549,9.65
2400,9.53
626,6.56
1040,3.14
2785,9.47
1653,6.92
672,2.66
1616,3.15
1231,0.83
1458,0.73
483,6.36
1659,3.18
1461,1.1
2692,5.72
400,4.22
2190,3.46
2310,7.81
1554,9.69
2392,7.67
2171,7.18
272,5.59
155,5.31
1316,4.6
1269,3.83
666,5.92
2806,1.71
375,4.63
2741,3.96
115,1.56
720,8.56
358,2.64
2001,6.19
811,5.31
778,2.71
2058,5.27
2693,6.81
495,3.45
2845,6.33
1943,0.47
2266,4.4
1083,8.46
836,4.31
1187,2.31
824,1.5
485,4.45
276,0.95
363,3.8
251,5.65
2972,2.29
2850,0.83
2143,1.54
1104,4.34
2992,4.73
931,10.0
1847,1.24
989,8.21
259,3.23
2712,0.28
667,0.93
827,1.26
1696,7.99
1630,7.78
2467,1.1
2363,5.37
2153,4.4
685,5.16
2667,6.97
1813,4.46
1047,9.2
2529,8.97
1520,5.42
2854,2.14
823,3.95
2699,1.91
2316,0.97
2285,6.46
1754,8.47
135,9.2
2571,5.68
1729,1.65
1552,8.89
2038,8.66
941,5.09
2748,8.49
2727,7.57
2411,2.86
875,9.29
820,8.3
964,2.92
851,5.91
1730,6.51
1082,9.4
2570,8.6
1683,1.57
1335,4.21
2846,2.99
2434,4.12
1364,6.84
640,5.29
383,4.09
2169,6.2
1655,9.7
1006,5.18
216,8.39
993,7.13
2584,7.52
173,3.77
2970,6.13
2127,7.96
2727,6.46
2884,9.19
1931,0.31
1828,4.56
2423,8.95
409,4.11
2319,2.42
1208,4.66
844,9.22
2323,8.95
561,8.23
1449,0.74
1326,5.85
2042,4.86
